iter	Logloss
0	0.6727213135
1	0.6542686768
2	0.6373043213
3	0.6211557007
4	0.6076141968
5	0.5917681885
6	0.5800107422
7	0.5664550781
8	0.5536925049
9	0.5418309326
10	0.5309990234
11	0.5201568604
12	0.5115709534
13	0.5025828247
14	0.493583313
15	0.48667453
16	0.4790288696
17	0.4731091309
18	0.4649021606
19	0.4585404358
20	0.4521793823
21	0.4476688232
22	0.4433384399
23	0.4374872131
24	0.4329765625
25	0.4291151123
26	0.4244199524
27	0.4204448853
28	0.416901947
29	0.4139596558
30	0.4103314209
31	0.4075932617
32	0.4037001343
33	0.4001615601
34	0.3981444092
35	0.3957824097
36	0.3930236816
37	0.3900742493
38	0.3878252258
39	0.3860379639
40	0.3837645569
41	0.3820450439
42	0.3794959106
43	0.37765979
44	0.376234375
45	0.3746174011
46	0.3730646973
47	0.3710115356
48	0.3690645447
49	0.3675404053
50	0.3661854858
51	0.3651981201
52	0.3642989502
53	0.3633390503
54	0.3619384766
55	0.3611588745
56	0.3599988098
57	0.358633667
58	0.357246582
59	0.3564122009
60	0.3555077515
61	0.3547325439
62	0.3536459961
63	0.3529880676
64	0.3523912354
65	0.3518010864
66	0.3511676025
67	0.3504072876
68	0.349644165
69	0.3488548584
70	0.3481680298
71	0.3476062317
72	0.3467064209
73	0.3460576477
74	0.3455419922
75	0.3448804321
76	0.3443044128
77	0.343440979
78	0.3431434937
79	0.3427483521
80	0.3419042969
81	0.3413432617
82	0.3406948242
83	0.3400742493
84	0.3393760071
85	0.3388143921
86	0.3384533081
87	0.3381291199
88	0.3377607422
89	0.3372160645
90	0.3368206177
91	0.3363539429
92	0.3359986572
93	0.335407196
94	0.3350951233
95	0.3348726807
96	0.3345546875
97	0.3343330078
98	0.3338025513
99	0.3333811035
100	0.3329499207
101	0.332479126
102	0.3319388123
103	0.3316135254
104	0.3312340088
105	0.3308102417
106	0.330438385
107	0.3301204224
108	0.3299125671
109	0.3295960693
110	0.3291704102
111	0.3288088989
112	0.3285264587
113	0.3281949768
114	0.3279230957
115	0.3276937256
116	0.3274472961
117	0.3273495483
118	0.3270445862
119	0.3266732788
120	0.3265336914
121	0.326282135
122	0.3261382446
123	0.3260437622
124	0.3257727661
125	0.3255538635
126	0.3252781677
127	0.3249490356
128	0.3247905273
129	0.324479187
130	0.3241568298
131	0.3239782104
132	0.3238265381
133	0.3236755981
134	0.3235524292
135	0.3233372192
136	0.3231266479
137	0.3229665222
138	0.3227440796
139	0.3226154175
140	0.3223419189
141	0.3222022705
142	0.3218463745
143	0.3216434326
144	0.321410553
145	0.3212012939
146	0.3209830017
147	0.3207573242
148	0.3205770874
149	0.3204051514
150	0.3202089844
151	0.3199181519
152	0.3197383423
153	0.3195507202
154	0.3192514343
155	0.3190882874
156	0.3189386597
157	0.3188115845
158	0.3187111816
159	0.3184481812
160	0.3182264099
161	0.3180750122
162	0.3179505005
163	0.3177987366
164	0.3176340332
165	0.3174404602
166	0.3172817688
167	0.3171033325
168	0.3168843689
169	0.3166961975
170	0.3165295105
171	0.3163234863
172	0.3161087036
173	0.315901062
174	0.3157831421
175	0.3156398315
176	0.315548645
177	0.3154136353
178	0.3152228088
179	0.3151333313
180	0.3149810791
181	0.3148609924
182	0.3146939697
183	0.3144348145
184	0.3142788696
185	0.3141191406
186	0.3138001099
187	0.3135897217
188	0.3134324951
189	0.3133256836
190	0.3132113037
191	0.3131806641
192	0.3129656982
193	0.3128087463
194	0.3126645813
195	0.3125115356
196	0.3123840332
197	0.3121539917
198	0.3121112366
199	0.3119191895
200	0.3118288574
201	0.3116711426
202	0.3114944153
203	0.3112998657
204	0.3110829468
205	0.3107863159
206	0.3105915527
207	0.3104441833
208	0.3103204041
209	0.3101971436
210	0.3100636902
211	0.3099749146
212	0.3098088989
